geneSymbol	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs
AC006460.2	0.043489838822705	0.121929026387625	0.731335055986219	0.324123847167325	0.00825622775800712	0.0579548872180451	0.622631578947368	0.256455889852116	0.785301094890511	0.0852464788732394	0.492468051118211
AC017002.1	0.02385423966363	0.253767060964513	2.14491817398794	0.413988801054018	0.0796085409252669	0.355428571428571	2.4847149122807	0.528740438551759	1.89803832116788	0.597147887323944	3.40909744408946
AC023590.1	0.32458304134548	0.109645131938126	0.0391171403962102	0.0344400527009223	3.10619217081851	0.199007518796992	0.223618421052632	0.0477052524222336	0.0294616788321168	0.167640845070423	0.0891533546325878
AC069363.1	0.00382620882971268	0.0114649681528662	2.32049526270456	0.807150856389987	0.0348042704626335	1.12330827067669	0.876271929824561	0.808419173890872	2.05235401459854	0.0159859154929577	0.282531948881789
AC079767.4	1.69786264891381	0.00818926296633303	0.00369078380706288	0.00149209486166008	0	0.229954887218045	0.0334429824561404	0.00563997960224375	0	0	0.0028035143769968
AC092580.4	0.00385423966362999	0.918252957233849	3.40181739879414	1.66504611330698	0	0.017218045112782	2.14190789473684	1.43130035696073	2.97262773722628	0.0228169014084507	0.943123003194888
AC096579.7	4.77342676944639	0.0396087352138308	0.0640611541774332	0.0393115942028986	9.35046263345196	0.0562932330827068	0.21015350877193	0.0498164201937787	0.0955839416058394	8.52612676056338	0.0586341853035144
AC145110.1	0.0353468815697267	0.0152684258416742	0.0735142118863049	0.0136297760210804	0.025729537366548	0.0249097744360902	0.238421052631579	0.0388628250892402	0.0619525547445256	0.00144366197183099	0.864305111821086
ACTBP12	0.154337771548704	0.152611464968153	0.0652325581395349	0.0695256916996047	0.05644128113879	0.0772932330827068	0.10280701754386	0.0893319734829169	0.29375	0	0.144376996805112
ACVR2A	0.134358794674142	0.752429481346679	0.0469896640826873	0.162332015810277	0.292348754448399	0.995548872180451	0.166929824561404	0.35212646608873	0.127290145985401	0.25362676056338	0.391014376996805
ADAM28	5.96788367203924	0.0503730664240218	0.287377260981912	0.189440052700922	0.64576512455516	2.1290977443609	0.293223684210526	0.241014788373279	0.462162408759124	1.93566901408451	0.137947284345048
ADAP2	0.0950035038542397	0.0129663330300273	0.00950473729543497	0.00690711462450593	0.215195729537367	3.24712781954887	0	0.0159306476287608	0.0139872262773723	0.0894718309859155	0.0273801916932907
ADRB2	0.560385423966363	0.371091901728844	0.493794142980189	1.08559617918314	0.689039145907473	1.08390977443609	0.45640350877193	1.34290668026517	0.61367700729927	0.517183098591549	0.111309904153355
AE000661.37	0.0641695865451997	0.108880800727934	0.0635314384151593	0.0324472990777339	0	0.00807518796992481	0.698421052631579	0.54092809790923	0.841934306569343	0.0160915492957746	0.0988897763578275
AFAP1L2	0.0967694463910301	0.0626842584167425	1.79324720068906	0.282417654808959	0	0.0203984962406015	1.46622807017544	0.249066802651708	1.50117700729927	0.0195774647887324	0.205551118210863
AFF3	3.19776454099509	0.257816196542311	0.0326270456503015	0.0553557312252964	3.28754448398576	0.320511278195489	0.311447368421053	0.107628760836308	0.217682481751825	0.00623239436619718	0.118083067092652
AHNAK2	0.102627890679748	0.0101000909918107	0.00273471145564169	0.00579380764163373	1.85395017793594	0.276578947368421	0.0189473684210526	0.0138959714431413	0.00327554744525547	0	0.00620607028753994
AKAP5	0.0845409950946041	0.107506824385805	1.09208010335917	0.327272727272727	0.0103202846975089	0.0236390977443609	0.731995614035088	0.244767975522692	0.60375	0.0187676056338028	0.337947284345048
AL109767.1	0	0.400445859872611	0.261373815676141	0.401126482213439	0.0102846975088968	0	0.220745614035088	0.235323814380418	0.292016423357664	0	0.299209265175719
AL928768.3	1.08660126138753	0.00394904458598726	0	0.00406455862977602	0	0.0132481203007519	0.0364035087719298	0.0142223355430903	0.0398540145985401	2.34556338028169	0.0169728434504792
ALDH3B1	0.00986685353889278	0.0226660600545951	0.00675279931093885	0.00934123847167325	0.283167259786477	2.7113984962406	0.0239254385964912	0.0186231514533401	0.0221897810218978	0.0371830985915493	0.00514376996805112
AMZ2P2	0.0131324456902593	0.218880800727934	0.408083548664944	0.583889986824769	0.162455516014235	0.0991804511278195	0.20484649122807	0.541596124426313	0.466943430656934	0.0783450704225352	0.370015974440895
ANK3	0.405304835318851	1.56006369426752	0.210361757105943	0.71016139657444	0.21202846975089	0.0564736842105263	0.377368421052632	0.828750637429883	0.436815693430657	0.0207394366197183	0.425071884984026
ANKRD28	0.413272599859846	0.755750682438581	0.881580534022394	0.860424901185771	0.756868327402135	1.23206015037594	1.1040350877193	0.840214176440592	0.817563868613139	4.51549295774648	0.712492012779553
ANKRD36BP2	0.11676944639103	0.191683348498635	0.146834625322997	0.112384716732543	0.0992526690391459	0.0331503759398496	0.218289473684211	0.0980367159612443	0.13478102189781	3.25957746478873	0.125766773162939
ANLN	0.0198528381219341	0.008926296633303	0.657196382428941	0.0197463768115942	0.0333451957295374	0.297436090225564	2.86344298245614	0.065910249872514	0.109251824817518	0.0264084507042254	0.0519329073482428
ANPEP	0.00998598458304135	0.0282256596906278	0.0149698535745047	0.0139756258234519	0.0667259786476868	4.59129323308271	0.00100877192982456	0.0142478327383988	0.00385036496350365	0.0111619718309859	0.0125479233226837
ANTXRLP1	0.32468815697267	1.04901728844404	0.713630490956072	0.553208168642951	0.249430604982206	0.00584962406015038	0.975723684210526	0.465594084650688	0.798886861313869	0	0.899456869009585
AP000974.1	0.0408829712683952	0.0452684258416743	0.0936132644272179	0.109555335968379	0.0474021352313167	0.046796992481203	0.0392324561403509	0.0700407955124936	0.0837043795620438	0.0263028169014085	0.0368450479233227
AP3M2	0.232375613174492	1.34106460418562	0.679478897502153	0.673722002635046	0.172064056939502	0.518300751879699	1.5259649122807	0.773839877613463	0.641240875912409	0.15443661971831	0.92529552715655
APBA2	0.013875262789068	0.725787079162875	0.150460809646856	0.753211462450593	0.0259786476868327	0.0220225563909774	0.133355263157895	0.511580826109128	0.22720802919708	0.0137676056338028	0.0431869009584665
APP	0.602354590049054	0.415241128298453	0.109121447028424	0.0803985507246377	5.9897153024911	2.2058045112782	0.161666666666667	0.133564507904131	0.0814598540145985	0.0604929577464789	0.274720447284345
AQP3	0.036166783461808	1.91729754322111	0.301257536606374	0.648247694334651	0.779537366548043	0.810676691729323	0.851337719298246	0.637618561958185	0.564972627737226	2.2893661971831	1.46689297124601
AQP9	0.00645409950946041	0.00565059144676979	0.00550818260120586	0.00991436100131752	0	2.96166165413534	0	0.00597144314125446	0.00996350364963504	0.00577464788732394	0.00722843450479233
ARHGAP24	3.99463910301332	0.035705186533212	0.0107967269595177	0.0294137022397892	2.65405693950178	0.887962406015038	0.105526315789474	0.0563640999490056	0.0344160583941606	0.0733450704225352	0.0466054313099042
ARHGEF10L	0	0.0129117379435851	0.00633505598621878	0.0101119894598155	0	2.56378195488722	0	0.00522182559918409	0.0219525547445255	0.00644366197183099	0.00114217252396166
ASF1B	0.0339383321653819	0.0471519563239308	1.1828811369509	0.0721969696969697	0.0461921708185053	0.517383458646617	5.27611842105263	0.0947628760836308	0.295875912408759	0.110352112676056	0.153658146964856
ASPM	0.0140854940434478	0.0248225659690628	0.720004306632214	0.0622562582345191	0.0685053380782918	0.153563909774436	3.18480263157895	0.0661397246302907	0.249616788321168	0.0577464788732394	0.105662939297125
