Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-GEOD-80243	DNA methylation analysis of neuroblastoma cell lines treated with epigenetic drugs	methylation profiling by array	Homo sapiens	8	2016-09-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80243/E-GEOD-80243.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80243/E-GEOD-80243.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-80243/
E-GEOD-73518	Primary neuroblastoma tumors	transcription profiling by array, methylation profiling by array	Homo sapiens	210	2016-09-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73518/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73518/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73518/
E-GEOD-73515	DNA methylation data from primary neuroblastoma tumors	methylation profiling by array	Homo sapiens	105	2016-09-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73515/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73515/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73515/
E-GEOD-66245	Treatment with GC/RA and combination with AZA/SAHA in MYC amplified and BRG1 mutant lung cancer cell lines	transcription profiling by array, methylation profiling by array	Homo sapiens	102	2016-09-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66245/E-GEOD-66245.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66245/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-66245/
E-GEOD-66087	Patterns of changes in DNA global methylation following the treatment with GC/RA and with GC/RA plus AZA/SAHA in MYC amplified and BRG1 mutant lung cancer cell lines	methylation profiling by array	Homo sapiens	21	2016-09-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66087/E-GEOD-66087.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-66087/
E-GEOD-73115	Epigenetic regulation in the elderly over time	methylation profiling by array	Homo sapiens	180	2016-09-02	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73115/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73115/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73115/
E-GEOD-77206	Methyl-CpG-Binding Protein MBD2 plays a critical role in maintenance and spread of DNA methylation of CpG islands and shores in cancer	transcription profiling by array, methylation profiling by array	Homo sapiens	12	2016-08-24	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77206/E-GEOD-77206.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77206/E-GEOD-77206.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77206/
E-GEOD-77201	Methyl-CpG-Binding Protein MBD2 plays a critical role in maintenance and spread of DNA methylation of CpG islands and shores in cancer (methylation)	methylation profiling by array	Homo sapiens	6	2016-08-24	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77201/E-GEOD-77201.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77201/E-GEOD-77201.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77201/
E-GEOD-80468	DNA methylation profiling of polycystic ovarian syndrome (PCOS)	methylation profiling by array	Homo sapiens	60	2016-08-22	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80468/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80468/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-80468/
E-GEOD-73895	Genome-wide single base resolution profiling of 5-methyl and 5-hydroxymethylcytosine in glioblastoma	methylation profiling by array	Homo sapiens	60	2016-08-22	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73895/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73895/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73895/
