Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell type]	Characteristics [disease state]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [sex]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [disease state]	Term Source REF	Term Accession Number	FactorValue [sex]	Term Source REF	Term Accession Number
GSM1861062 1	Sample 12 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 6	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861062 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861062 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861062	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861062_9373551014_R06C02_Red.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861062_sample_table.txt norm	GSM1861062_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861062 1	Sample 12 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 6	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861062 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861062 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861062	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861062_9373551014_R06C02_Grn.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861062_sample_table.txt norm	GSM1861062_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861061 1	Sample 11 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 5	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861061 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861061 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861061	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861061_9373551014_R05C02_Red.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861061_sample_table.txt norm	GSM1861061_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861061 1	Sample 11 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 5	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861061 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861061 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861061	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861061_9373551014_R05C02_Grn.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861061_sample_table.txt norm	GSM1861061_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861060 1	Sample 10 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 4	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	P-GSE72364-2	ArrayExpress	GSM1861060 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861060 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861060	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861060_9373551014_R03C02_Red.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861060_sample_table.txt norm	GSM1861060_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383
GSM1861060 1	Sample 10 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 4	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	P-GSE72364-2	ArrayExpress	GSM1861060 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861060 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861060	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861060_9373551014_R03C02_Grn.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861060_sample_table.txt norm	GSM1861060_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383
GSM1861059 1	Sample 9 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 3	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861059 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861059 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861059	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861059_9373551014_R06C01_Red.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861059_sample_table.txt norm	GSM1861059_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861059 1	Sample 9 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 3	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861059 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861059 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861059	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861059_9373551014_R06C01_Grn.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861059_sample_table.txt norm	GSM1861059_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861058 1	Sample 8 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 2	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861058 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861058 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861058	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861058_9373551014_R02C01_Red.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861058_sample_table.txt norm	GSM1861058_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861058 1	Sample 8 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 2	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861058 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861058 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861058	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861058_9373551014_R02C01_Grn.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861058_sample_table.txt norm	GSM1861058_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861057 1	Sample 7 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 1	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861057 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861057 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861057	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861057_9373551014_R01C01_Red.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861057_sample_table.txt norm	GSM1861057_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
GSM1861057 1	Sample 7 CD4+ T cells from healthy subjects.	CD4+ T cells, healthy subject	Genomic DNA from CD4 T cells of Healthy Subject 1	CD4+ T cells	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	P-GSE72364-2	ArrayExpress	GSM1861057 extract 1	genomic DNA	P-GSE72364-3	ArrayExpress	GSM1861057 LE 1	Cy5 and Cy3	P-GSE72364-4	ArrayExpress	GSM1861057	A-GEOD-13534	ArrayExpress	array assay	P-GSE72364-5	ArrayExpress	GSM1861057_9373551014_R01C01_Grn.idat	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.raw.1.zip	P-GSE72364-1	ArrayExpress	GSM1861057_sample_table.txt norm	GSM1861057_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72364/E-GEOD-72364.processed.1.zip	normal	EFO	http://purl.obolibrary.org/obo/PATO_0000461	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384
